account_id,customer_id,account_type,open_date,status
ACC0001,CUST001,CHECKING,2023-02-07,ACTIVE
ACC0002,CUST002,CHECKING,2021-07-27,ACTIVE
ACC0003,CUST002,SAVINGS,2021-08-16,CLOSED
ACC0004,CUST003,CREDIT,2021-04-16,CLOSED
ACC0005,CUST004,SAVINGS,2021-03-24,ACTIVE
ACC0006,CUST005,CHECKING,2022-08-25,CLOSED
ACC0007,CUST006,SAVINGS,2021-09-13,CLOSED
ACC0008,CUST006,CREDIT,2021-07-29,ACTIVE
ACC0009,CUST007,SAVINGS,2021-11-15,CLOSED
ACC0010,CUST008,CHECKING,2023-05-03,ACTIVE
ACC0011,CUST009,SAVINGS,2022-01-01,CLOSED
ACC0012,CUST009,CHECKING,2022-01-19,CLOSED
ACC0013,CUST009,CHECKING,2021-12-24,CLOSED
ACC0014,CUST010,CHECKING,2023-09-14,ACTIVE
ACC0015,CUST010,CHECKING,2023-12-13,ACTIVE
ACC0016,CUST010,CHECKING,2023-10-30,CLOSED
ACC0017,CUST011,CHECKING,2022-03-17,ACTIVE
ACC0018,CUST011,CHECKING,2022-03-14,ACTIVE
ACC0019,CUST012,SAVINGS,2022-12-20,CLOSED
ACC0020,CUST012,SAVINGS,2022-11-04,CLOSED
ACC0021,CUST013,CHECKING,2022-08-10,ACTIVE
ACC0022,CUST014,CREDIT,2022-10-22,ACTIVE
ACC0023,CUST015,SAVINGS,2022-08-22,ACTIVE
ACC0024,CUST015,CREDIT,2022-10-15,ACTIVE
ACC0025,CUST015,CHECKING,2022-10-19,ACTIVE
ACC0026,CUST016,CHECKING,2023-01-24,ACTIVE
ACC0027,CUST017,CHECKING,2023-07-16,ACTIVE
ACC0028,CUST017,CREDIT,2023-06-26,ACTIVE
ACC0029,CUST017,CREDIT,2023-06-05,CLOSED
ACC0030,CUST018,CREDIT,2021-12-23,CLOSED
ACC0031,CUST018,SAVINGS,2021-11-07,CLOSED
ACC0032,CUST018,CHECKING,2021-11-14,CLOSED
ACC0033,CUST019,CREDIT,2022-04-07,CLOSED
ACC0034,CUST020,SAVINGS,2023-03-26,ACTIVE
ACC0035,CUST020,CHECKING,2023-02-16,ACTIVE
ACC0036,CUST021,CREDIT,2022-11-09,CLOSED
ACC0037,CUST022,SAVINGS,2021-06-25,ACTIVE
ACC0038,CUST023,SAVINGS,2023-08-26,CLOSED
ACC0039,CUST023,CREDIT,2023-11-04,CLOSED
ACC0040,CUST024,CREDIT,2023-02-08,ACTIVE
ACC0041,CUST024,CREDIT,2023-02-11,CLOSED
ACC0042,CUST024,CREDIT,2022-12-16,ACTIVE
ACC0043,CUST025,CHECKING,2023-05-05,ACTIVE
ACC0044,CUST025,SAVINGS,2023-05-28,ACTIVE
ACC0045,CUST026,SAVINGS,2021-10-28,CLOSED
ACC0046,CUST026,CREDIT,2021-12-03,CLOSED
ACC0047,CUST026,CHECKING,2021-10-13,CLOSED
ACC0048,CUST027,CHECKING,2023-06-17,CLOSED
ACC0049,CUST027,CHECKING,2023-09-06,CLOSED
ACC0050,CUST028,CREDIT,2022-12-29,CLOSED
ACC0051,CUST029,CHECKING,2021-06-10,ACTIVE
ACC0052,CUST029,CREDIT,2021-06-15,ACTIVE
ACC0053,CUST029,SAVINGS,2021-08-09,ACTIVE
