transaction_id,account_id,transaction_date,amount,transaction_type,merchant_country,is_large_transaction
TXN000001,ACC0001,2024-12-22,3398.92,CREDIT,UAE,False
TXN000002,ACC0001,2023-07-26,4204.12,DEBIT,Bangladesh,False
TXN000003,ACC0001,2024-08-06,144.56,CREDIT,Bangladesh,False
TXN000004,ACC0001,2024-09-06,3318.37,DEBIT,UAE,False
TXN000005,ACC0001,2024-04-20,687.14,CREDIT,USA,False
TXN000006,ACC0001,2023-03-30,1308.18,CREDIT,USA,False
TXN000007,ACC0001,2024-05-17,1640.96,CREDIT,England,False
TXN000008,ACC0001,2024-04-13,1268.83,DEBIT,India,False
TXN000009,ACC0001,2023-02-26,3747.63,DEBIT,England,False
TXN000010,ACC0001,2023-09-24,3254.22,DEBIT,Singapore,False
TXN000011,ACC0001,2023-03-10,4748.56,DEBIT,Singapore,False
TXN000012,ACC0001,2023-02-27,3110.46,DEBIT,USA,False
TXN000013,ACC0001,2024-06-05,3350.6,DEBIT,India,False
TXN000014,ACC0001,2023-10-27,3836.82,DEBIT,Bangladesh,False
TXN000015,ACC0001,2024-10-20,4819.04,DEBIT,Singapore,False
TXN000016,ACC0002,2022-06-10,549.41,DEBIT,England,False
TXN000017,ACC0002,2023-03-08,3389.96,CREDIT,India,False
TXN000018,ACC0002,2022-02-15,389.22,DEBIT,Canada,False
TXN000019,ACC0002,2022-05-31,4252.96,DEBIT,Singapore,False
TXN000020,ACC0002,2023-02-26,3915.35,CREDIT,Bangladesh,False
TXN000021,ACC0002,2022-10-08,3310.99,DEBIT,Bangladesh,False
TXN000022,ACC0002,2023-05-21,1712.74,CREDIT,Singapore,False
TXN000023,ACC0002,2022-12-10,536.64,CREDIT,UAE,False
TXN000024,ACC0002,2022-11-09,3539.47,CREDIT,USA,False
TXN000025,ACC0002,2023-01-12,4827.71,CREDIT,Bangladesh,False
TXN000026,ACC0003,2022-12-24,2329.72,CREDIT,England,False
TXN000027,ACC0003,2022-04-24,4155.35,DEBIT,England,False
TXN000028,ACC0003,2022-11-20,1226.88,CREDIT,Bangladesh,False
TXN000029,ACC0003,2023-05-02,3344.26,CREDIT,Canada,False
TXN000030,ACC0003,2023-01-04,4256.25,DEBIT,India,False
TXN000031,ACC0003,2022-03-21,1780.58,CREDIT,England,False
TXN000032,ACC0003,2022-05-29,4402.8,CREDIT,Bangladesh,False
TXN000033,ACC0003,2021-08-26,2587.97,DEBIT,Canada,False
TXN000034,ACC0003,2022-04-20,3603.17,CREDIT,Bangladesh,False
TXN000035,ACC0003,2022-04-19,3456.14,CREDIT,India,False
TXN000036,ACC0003,2021-09-02,474.34,DEBIT,India,False
TXN000037,ACC0003,2022-04-22,1537.97,CREDIT,India,False
TXN000038,ACC0003,2023-03-05,2659.3,CREDIT,UAE,False
TXN000039,ACC0003,2023-03-02,1660.65,CREDIT,England,False
TXN000040,ACC0003,2022-06-25,1264.5,DEBIT,UAE,False
TXN000041,ACC0003,2022-03-01,1584.58,DEBIT,USA,False
TXN000042,ACC0003,2022-03-25,3695.64,CREDIT,UAE,False
TXN000043,ACC0003,2023-04-11,17930.65,CREDIT,Canada,True
TXN000044,ACC0003,2022-03-02,1488.27,CREDIT,USA,False
TXN000045,ACC0003,2022-06-21,80.6,DEBIT,England,False
TXN000046,ACC0003,2021-10-01,4871.73,CREDIT,UAE,False
TXN000047,ACC0003,2021-12-23,3192.97,CREDIT,Canada,False
TXN000048,ACC0004,2022-11-24,38050.45,CREDIT,India,True
TXN000049,ACC0004,2022-03-30,929.97,DEBIT,England,False
