transaction_id,account_id,transaction_date,amount,transaction_type,merchant_country
TXN000001,ACC0001,2024-12-22,3398.92,CREDIT,UAE
TXN000002,ACC0001,2023-07-26,4204.12,DEBIT,Bangladesh
TXN000003,ACC0001,2024-08-06,144.56,CREDIT,Bangladesh
TXN000004,ACC0001,2024-09-06,3318.37,DEBIT,UAE
TXN000005,ACC0001,2024-04-20,687.14,CREDIT,USA
TXN000006,ACC0001,2023-03-30,1308.18,CREDIT,USA
TXN000007,ACC0001,2024-05-17,1640.96,CREDIT,England
TXN000008,ACC0001,2024-04-13,1268.83,DEBIT,India
TXN000009,ACC0001,2023-02-26,3747.63,DEBIT,England
TXN000010,ACC0001,2023-09-24,3254.22,DEBIT,Singapore
TXN000011,ACC0001,2023-03-10,4748.56,DEBIT,Singapore
TXN000012,ACC0001,2023-02-27,3110.46,DEBIT,USA
TXN000013,ACC0001,2024-06-05,3350.6,DEBIT,India
TXN000014,ACC0001,2023-10-27,3836.82,DEBIT,Bangladesh
TXN000015,ACC0001,2024-10-20,4819.04,DEBIT,Singapore
TXN000016,ACC0002,2022-06-10,549.41,DEBIT,England
TXN000017,ACC0002,2023-03-08,3389.96,CREDIT,India
TXN000018,ACC0002,2022-02-15,389.22,DEBIT,Canada
TXN000019,ACC0002,2022-05-31,4252.96,DEBIT,Singapore
TXN000020,ACC0002,2023-02-26,3915.35,CREDIT,Bangladesh
TXN000021,ACC0002,2022-10-08,3310.99,DEBIT,Bangladesh
TXN000022,ACC0002,2023-05-21,1712.74,CREDIT,Singapore
TXN000023,ACC0002,2022-12-10,536.64,CREDIT,UAE
TXN000024,ACC0002,2022-11-09,3539.47,CREDIT,USA
TXN000025,ACC0002,2023-01-12,4827.71,CREDIT,Bangladesh
TXN000026,ACC0003,2022-12-24,2329.72,CREDIT,England
TXN000027,ACC0003,2022-04-24,4155.35,DEBIT,England
TXN000028,ACC0003,2022-11-20,1226.88,CREDIT,Bangladesh
TXN000029,ACC0003,2023-05-02,3344.26,CREDIT,Canada
TXN000030,ACC0003,2023-01-04,4256.25,DEBIT,India
TXN000031,ACC0003,2022-03-21,1780.58,CREDIT,England
TXN000032,ACC0003,2022-05-29,4402.8,CREDIT,Bangladesh
TXN000033,ACC0003,2021-08-26,2587.97,DEBIT,Canada
TXN000034,ACC0003,2022-04-20,3603.17,CREDIT,Bangladesh
TXN000035,ACC0003,2022-04-19,3456.14,CREDIT,India
TXN000036,ACC0003,2021-09-02,474.34,DEBIT,India
TXN000037,ACC0003,2022-04-22,1537.97,CREDIT,India
TXN000038,ACC0003,2023-03-05,2659.3,CREDIT,UAE
TXN000039,ACC0003,2023-03-02,1660.65,CREDIT,England
TXN000040,ACC0003,2022-06-25,1264.5,DEBIT,UAE
TXN000041,ACC0003,2022-03-01,1584.58,DEBIT,USA
TXN000042,ACC0003,2022-03-25,3695.64,CREDIT,UAE
TXN000043,ACC0003,2023-04-11,17930.65,CREDIT,Canada
TXN000044,ACC0003,2022-03-02,1488.27,CREDIT,USA
TXN000045,ACC0003,2022-06-21,80.6,DEBIT,England
TXN000046,ACC0003,2021-10-01,4871.73,CREDIT,UAE
TXN000047,ACC0003,2021-12-23,3192.97,CREDIT,Canada
TXN000048,ACC0004,2022-11-24,38050.45,CREDIT,India
TXN000049,ACC0004,2022-03-30,929.97,DEBIT,England
TXN000050,ACC0004,2022-08-18,579.29,DEBIT,India
TXN000051,ACC0004,2022-09-01,379.67,DEBIT,USA
TXN000052,ACC0004,2021-09-15,4057.6,CREDIT,Canada
TXN000053,ACC0005,2021-07-23,2794.78,CREDIT,Bangladesh
TXN000054,ACC0005,2022-11-24,3955.8,DEBIT,Singapore
TXN000055,ACC0005,2022-09-10,1908.09,CREDIT,England
TXN000056,ACC0005,2022-11-16,4950.26,CREDIT,Bangladesh
TXN000057,ACC0005,2022-12-19,310.55,DEBIT,Singapore
TXN000058,ACC0005,2021-10-22,3131.32,CREDIT,UAE
TXN000059,ACC0005,2021-06-15,793.71,DEBIT,Bangladesh
TXN000060,ACC0005,2021-06-08,791.1,CREDIT,India
TXN000061,ACC0005,2022-11-22,2354.86,DEBIT,USA
TXN000062,ACC0005,2022-01-13,3537.71,CREDIT,Canada
TXN000063,ACC0005,2021-11-18,4620.32,DEBIT,India
TXN000064,ACC0005,2021-07-19,2727.37,DEBIT,England
TXN000065,ACC0006,2022-11-06,307.59,CREDIT,Bangladesh
TXN000066,ACC0006,2024-03-29,4606.75,CREDIT,Canada
TXN000067,ACC0006,2023-12-17,3446.5,CREDIT,England
TXN000068,ACC0006,2024-01-19,2704.51,CREDIT,Canada
TXN000069,ACC0006,2024-04-28,208.91,CREDIT,UAE
TXN000070,ACC0006,2023-07-21,3022.53,DEBIT,Canada
TXN000071,ACC0006,2023-04-16,4809.94,DEBIT,Singapore
TXN000072,ACC0006,2024-07-13,4108.89,DEBIT,Singapore
TXN000073,ACC0006,2023-02-20,2357.8,CREDIT,England
TXN000074,ACC0007,2023-05-05,2185.07,CREDIT,Canada
TXN000075,ACC0007,2023-01-07,1746.33,CREDIT,England
TXN000076,ACC0007,2023-07-31,531.95,DEBIT,England
TXN000077,ACC0007,2022-11-08,3471.43,CREDIT,UAE
TXN000078,ACC0007,2022-10-28,4069.69,DEBIT,India
TXN000079,ACC0007,2021-12-12,1579.44,CREDIT,Canada
TXN000080,ACC0007,2022-10-31,4325.9,DEBIT,UAE
TXN000081,ACC0007,2023-03-22,2315.26,DEBIT,USA
TXN000082,ACC0007,2023-02-25,1815.28,CREDIT,UAE
TXN000083,ACC0007,2022-12-09,3802.35,DEBIT,England
TXN000084,ACC0008,2021-12-10,4639.09,CREDIT,UAE
TXN000085,ACC0008,2022-12-07,615.92,DEBIT,UAE
TXN000086,ACC0008,2022-01-07,1560.64,DEBIT,Bangladesh
TXN000087,ACC0008,2022-09-19,475.11,DEBIT,India
TXN000088,ACC0008,2021-11-26,3242.07,DEBIT,India
TXN000089,ACC0008,2022-05-23,2549.27,CREDIT,India
TXN000090,ACC0008,2022-12-05,4901.42,DEBIT,India
TXN000091,ACC0008,2023-02-13,731.76,DEBIT,Bangladesh
TXN000092,ACC0008,2022-12-31,3734.0,DEBIT,Singapore
TXN000093,ACC0008,2021-10-08,1388.47,CREDIT,England
TXN000094,ACC0008,2022-12-30,1343.19,DEBIT,England
TXN000095,ACC0008,2022-05-30,4189.0,CREDIT,Singapore
TXN000096,ACC0008,2021-12-28,2238.27,CREDIT,England
TXN000097,ACC0008,2022-07-04,2764.07,CREDIT,India
TXN000098,ACC0008,2022-06-23,4349.31,DEBIT,Bangladesh
TXN000099,ACC0008,2022-08-25,1175.48,CREDIT,Canada
TXN000100,ACC0008,2022-06-19,3726.08,CREDIT,India
TXN000101,ACC0008,2023-06-08,3964.04,DEBIT,India
TXN000102,ACC0008,2021-09-04,639.97,CREDIT,Singapore
TXN000103,ACC0008,2021-11-08,4372.21,CREDIT,Canada
TXN000104,ACC0008,2023-01-18,4553.1,DEBIT,UAE
TXN000105,ACC0008,2021-12-23,2055.79,DEBIT,Canada
TXN000106,ACC0009,2022-08-13,1699.42,CREDIT,UAE
TXN000107,ACC0009,2022-02-05,4260.31,CREDIT,England
TXN000108,ACC0009,2023-08-18,3596.4,CREDIT,Singapore
TXN000109,ACC0009,2023-05-23,189.14,DEBIT,USA
TXN000110,ACC0009,2023-08-23,3425.15,CREDIT,USA
TXN000111,ACC0009,2022-02-15,2175.52,DEBIT,Singapore
TXN000112,ACC0009,2023-08-25,3522.42,DEBIT,India
TXN000113,ACC0009,2022-05-04,3473.07,DEBIT,Canada
TXN000114,ACC0009,2022-10-13,3982.76,CREDIT,England
TXN000115,ACC0009,2022-12-03,2159.13,DEBIT,Bangladesh
TXN000116,ACC0009,2023-01-10,2833.98,DEBIT,USA
TXN000117,ACC0009,2022-05-13,404.05,CREDIT,Bangladesh
TXN000118,ACC0009,2023-10-15,1211.74,DEBIT,USA
TXN000119,ACC0009,2023-03-02,3193.14,CREDIT,England
TXN000120,ACC0009,2023-09-28,56.89,CREDIT,England
TXN000121,ACC0009,2023-10-09,2737.52,DEBIT,India
TXN000122,ACC0009,2022-11-03,4938.38,CREDIT,UAE
TXN000123,ACC0009,2023-01-23,3454.66,CREDIT,Singapore
TXN000124,ACC0009,2022-09-20,1004.09,CREDIT,Singapore
TXN000125,ACC0009,2023-03-24,542.2,CREDIT,Bangladesh
TXN000126,ACC0010,2024-12-11,1486.4,CREDIT,Canada
TXN000127,ACC0010,2025-03-07,1985.07,DEBIT,Bangladesh
TXN000128,ACC0010,2023-06-22,4553.98,CREDIT,Singapore
TXN000129,ACC0010,2024-02-20,3880.95,DEBIT,Bangladesh
TXN000130,ACC0010,2024-04-27,1102.83,DEBIT,Bangladesh
TXN000131,ACC0010,2024-01-14,3392.04,DEBIT,UAE
TXN000132,ACC0010,2023-08-10,4517.98,DEBIT,England
TXN000133,ACC0010,2024-07-27,176.49,CREDIT,UAE
TXN000134,ACC0010,2023-09-14,459.77,CREDIT,England
TXN000135,ACC0010,2024-07-01,886.44,DEBIT,Singapore
TXN000136,ACC0010,2024-11-05,4383.54,CREDIT,Bangladesh
TXN000137,ACC0010,2024-09-27,4568.3,DEBIT,England
TXN000138,ACC0010,2024-09-07,4837.25,CREDIT,UAE
TXN000139,ACC0010,2024-04-13,4023.12,CREDIT,Canada
TXN000140,ACC0010,2023-09-24,3773.22,DEBIT,Singapore
TXN000141,ACC0010,2025-03-25,3623.84,CREDIT,Singapore
TXN000142,ACC0011,2023-01-10,460.61,CREDIT,Canada
TXN000143,ACC0011,2022-09-28,2687.5,CREDIT,England
TXN000144,ACC0011,2023-11-20,3747.57,CREDIT,Bangladesh
TXN000145,ACC0011,2023-01-26,4113.86,CREDIT,Canada
TXN000146,ACC0011,2023-11-23,1176.77,DEBIT,Bangladesh
TXN000147,ACC0011,2023-07-29,1646.75,DEBIT,UAE
TXN000148,ACC0011,2022-03-06,3180.67,CREDIT,UAE
TXN000149,ACC0011,2022-11-06,3249.7,DEBIT,USA
TXN000150,ACC0011,2022-02-16,4731.85,CREDIT,India
TXN000151,ACC0011,2022-04-29,494.99,DEBIT,India
TXN000152,ACC0011,2023-04-10,1861.35,CREDIT,Bangladesh
TXN000153,ACC0011,2022-06-08,4428.21,DEBIT,Singapore
TXN000154,ACC0011,2023-05-17,3082.1,CREDIT,Canada
TXN000155,ACC0011,2023-01-15,1094.18,CREDIT,USA
TXN000156,ACC0011,2023-01-07,505.78,CREDIT,Bangladesh
